id,language,title,year,doi,access,download_url,suggested_filename
en_extensive,English,Learning a Language Through Reading: A Meta-analysis of Studies on the Effects of Extensive Reading on Second and Foreign Language Learning,2025,10.1007/s10648-025-10068-6,open,https://link.springer.com/content/pdf/10.1007/s10648-025-10068-6.pdf,en_extensive_reading_2025.pdf
en_collocations,English,Effects of distributed practice on the acquisition of verb-noun collocations,2022/2023,10.1017/S0272263122000225,open-repository,https://research.birmingham.ac.uk/files/173411132/effects_of_distributed_practice_on_the_acquisition_of_verb_noun_collocations.pdf,en_spaced_collocations.pdf
en_caption,English,Incidental Vocabulary Acquisition Through Captioned Viewing: A Meta-Analysis,2025,10.1111/lang.12697,open,https://onlinelibrary.wiley.com/doi/pdf/10.1111/lang.12697,en_captioned_viewing_2025.pdf
hvpt_2025,Cross-language,High variability phonetic training (HVPT): A meta-analysis of L2 perceptual training studies,2025,10.1017/S0272263125100879,open-repository,https://researchmap.jp/takumiuchihara/published_papers/50374212/attachment_file.pdf,hvpt_meta_2025.pdf
hvpt_2024,Cross-language,Enhancing Pronunciation Learning through High Variability Phonetic Training: A Meta-analysis,2024,,open-eric,https://files.eric.ed.gov/fulltext/EJ1425175.pdf,hvpt_meta_2024_eric.pdf
ja_kanji_strategy,Japanese,Kanji learning strategies and language background of L2 Japanese language learners,2026,10.1186/s40862-025-00379-0,open,https://link.springer.com/content/pdf/10.1186/s40862-025-00379-0.pdf,ja_kanji_strategies_2026.pdf
zh_orthographic,Chinese,What is Chinese orthographic learning via self-teaching? A systematic review and meta-analysis,2025,10.1007/s11145-025-10739-4,open-repository,https://ira.lib.polyu.edu.hk/bitstream/10397/116249/1/s11145-025-10739-4.pdf,zh_orthographic_meta_2025.pdf
